,Anime_Name,Anime_img_url,Sub_Dub
129,Knights of the Zodiac: Saint Seiya - Battle for Sanctuary,https://img.zorores.com/_r/300x400/100/a3/eb/a3eb38f2c695fe651aa26c02505450a9/a3eb38f2c695fe651aa26c02505450a9.jpg,"['SUB', 'DUB']"
130,Swarm,https://img.zorores.com/_r/300x400/100/4f/c3/4fc30a77ec34a9b3ad83dd94586a345e/4fc30a77ec34a9b3ad83dd94586a345e.jpg,['SUB']
131,Master of the Star Spring,https://img.zorores.com/_r/300x400/100/94/ce/94cebe6e8fe42dab74c80707dbee16ce/94cebe6e8fe42dab74c80707dbee16ce.jpg,['SUB']
132,Overlord: Ple Ple Pleiades 4,https://img.zorores.com/_r/300x400/100/1e/f3/1ef370aacfe9d8ab7b8798a0e9c8180b/1ef370aacfe9d8ab7b8798a0e9c8180b.jpg,['SUB']
133,Warring States Of A Millenia,https://img.zorores.com/_r/300x400/100/ff/28/ff28ef11fe9ba2c20735f428884b127b/ff28ef11fe9ba2c20735f428884b127b.jpg,['SUB']
134,Obey Me! 2nd Season,https://img.zorores.com/_r/300x400/100/51/3a/513aa564ee1ae053e70c70185bddfac5/513aa564ee1ae053e70c70185bddfac5.jpg,['SUB']
135,Is It Wrong to Try to Pick Up Girls in a Dungeon? IV: Play Back,https://img.zorores.com/_r/300x400/100/06/24/0624387936576c007eff71adb47bcab6/0624387936576c007eff71adb47bcab6.jpg,"['SUB', 'DUB']"
136,"I'm Quitting Heroing: Remember, the Work Trip is First and Foremost a Learning Opportunity",https://img.zorores.com/_r/300x400/100/28/12/28129ae8132420522daf6ab40fdda3e6/28129ae8132420522daf6ab40fdda3e6.jpg,"['SUB', 'DUB']"
137,Cinderella Chef 3rd Season,https://img.zorores.com/_r/300x400/100/86/36/8636a6303fafcbf015da30eecc5dfcb3/8636a6303fafcbf015da30eecc5dfcb3.png,['SUB']
138,Harem in the Labyrinth of Another World (Uncensored),https://img.zorores.com/_r/300x400/100/b2/27/b227cc13eb573b4e5cdbe053b68ed0e8/b227cc13eb573b4e5cdbe053b68ed0e8.jpg,['SUB']
139,Legendary Twins,https://img.zorores.com/_r/300x400/100/b9/d3/b9d38b86a98c24254c9c01c864f2c60a/b9d38b86a98c24254c9c01c864f2c60a.jpg,['SUB']
140,Manual of Hundred Demons Season 3,https://img.zorores.com/_r/300x400/100/05/53/0553fb5640c8f9ed4b7fab94cab35930/0553fb5640c8f9ed4b7fab94cab35930.png,['SUB']
141,War God System! I’m Counting On You!,https://img.zorores.com/_r/300x400/100/93/45/9345edaf111b1a767ec802e6b4bbf85d/9345edaf111b1a767ec802e6b4bbf85d.png,['SUB']
